,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador,Material,MCantidad
10,I4,PREV_INS_BOMBA_ACQUATRON F1MA 03/07,TEC-INS,MBOM108,MBOM108I4,10,Mtto de instrumentos de bomba 6M,TEC-INS,PM01,2.0,2.0,MBOM108I410,,
11,I4,PREV_INS_BOMBA_ACQUATRON F1MA 03/07,TEC-INS,MBOM108,MBOM108I4,20,Contrasta o ajuste d transmisores 6M,TEC-INS,PM01,2.0,1.0,MBOM108I420,,
12,I5,INSP_INS_BOMBA_ACQUATRON F1MA 03/07,TEC-INS,MBOM108,MBOM108I5,10,Inspeccion de instrumentos de bomba 1M,TEC-INS,PM01,2.0,0.5,MBOM108I510,,
13,I6,PREV_INS_BOMBA_ACQUATRON F1MA 03/07,TEC-INS,MBOM108,MBOM108I6,10,Mtto de instrumentos de bomba 6M,TEC-INS,PM01,2.0,2.0,MBOM108I610,,
14,I6,PREV_INS_BOMBA_ACQUATRON F1MA 03/07,TEC-INS,MBOM108,MBOM108I6,20,Contrasta o ajuste d transmisores 6M,TEC-INS,PM01,2.0,1.0,MBOM108I620,,
15,I7,INSP_INS_BOMBA_ACQUATRON F1MA 03/07,TEC-INS,MBOM108,MBOM108I7,10,Inspeccion de instrumentos de bomba 1M,TEC-INS,PM01,2.0,0.5,MBOM108I710,,
16,I8,PREV_INS_BOMBA_ACQUATRON F1MA 03/07,TEC-INS,MBOM108,MBOM108I8,10,Mtto de instrumentos de bomba 6M,TEC-INS,PM01,2.0,2.0,MBOM108I810,,
17,I8,PREV_INS_BOMBA_ACQUATRON F1MA 03/07,TEC-INS,MBOM108,MBOM108I8,20,Contrasta o ajuste d transmisores 6M,TEC-INS,PM01,2.0,1.0,MBOM108I820,,
18,I9,INSP_INS_BOMBA_ACQUATRON F1MA 03/07,TEC-INS,MBOM108,MBOM108I9,10,Inspeccion de instrumentos de bomba 1M,TEC-INS,PM01,2.0,0.5,MBOM108I910,,
19,IA,PREV_INS_BOMBA_ACQUATRON F1MA 03/07,TEC-INS,MBOM108,MBOM108IA,10,Mtto de instrumentos de bomba 6M,TEC-INS,PM01,2.0,2.0,MBOM108IA10,,
20,IA,PREV_INS_BOMBA_ACQUATRON F1MA 03/07,TEC-INS,MBOM108,MBOM108IA,20,Contrasta o ajuste d transmisores 6M,TEC-INS,PM01,2.0,1.0,MBOM108IA20,,
