,Contador,HRDescripcion,HRPuesto,Eq,HRContador,pos,Actividades,Puesto,ClaseOT,ACant,AHoras,posHRContador
111,I1,INSP_INS_TOLVA_ BN206,TEC-INS,MTOL019,MTOL019I1,10,Insp estado instrumentos tolva 1M,TEC-INS,PM01,2.0,0.5,MTOL019I110
112,I2,PREV_INS_TOLVA_ BN206,TEC-INS,MTOL019,MTOL019I2,10,Mtto limpieza instrumentos tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL019I210
113,I2,PREV_INS_TOLVA_ BN206,TEC-INS,MTOL019,MTOL019I2,20,Contrastacion transmisores tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL019I220
114,M1,INSP_MEC_TOLVA_ BN211,TEC-MEC,MTOL020,MTOL020M1,10,Inspeccion general tolva 660H,TEC-MEC,PM01,2.0,3.0,MTOL020M110
115,M2,PREV_MEC_TOLVA_ BN211,TEC-MEC,MTOL020,MTOL020M2,10,Medicion espesores revestim tolva 4000H,TEC-MEC,PM01,2.0,2.0,MTOL020M210
116,M2,PREV_MEC_TOLVA_ BN211,TEC-MEC,MTOL020,MTOL020M2,20,Mtto general tolva 8000H,TEC-MEC,PM01,2.0,5.0,MTOL020M220
117,I1,INSP_INS_TOLVA_ BN211,TEC-INS,MTOL020,MTOL020I1,10,Insp estado instrumentos tolva 1M,TEC-INS,PM01,2.0,0.5,MTOL020I110
118,I2,PREV_INS_TOLVA_ BN211,TEC-INS,MTOL020,MTOL020I2,10,Mtto limpieza instrumentos tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL020I210
119,I2,PREV_INS_TOLVA_ BN211,TEC-INS,MTOL020,MTOL020I2,20,Contrastacion transmisores tolva 4000H,TEC-INS,PM01,2.0,1.0,MTOL020I220
120,M1,INSP_MEC_TOLVI_ BN212,TEC-MEC,MTOL021,MTOL021M1,10,Inspeccion general tolvin 660H,TEC-MEC,PM01,2.0,3.0,MTOL021M110
