key_dutie,Resource Type,Cod. Material,Cantidad
2133-CR-202|02-06-02,Materials,2523804,1
2133-CR-202|06-01-03,Materials,3039517,1
2133-CR-202|06-01-03,Materials,3039518,1
2133-CR-202|06-01-03,Materials,3039519,1
2133-CR-202|06-01-03,Materials,3039523,1
2133-CR-202|06-01-03,Materials,3039655,2
2133-CR-202|06-01-03,Materials,3039663,1
2133-CR-203|01-05-01,Materials,3039665,1
2133-CR-203|02-01-01,Materials,3039673,1
2133-CR-203|01-02-01,Materials,3039527,1
2133-CR-203|02-02-02,Materials,3039627,1
2133-CR-203|02-02-03,Materials,3039608,1
2133-CR-203|02-05-01,Materials,3039623,1
2133-CR-203|02-04-02,Materials,3039646,1
2133-CR-203|02-05-04,Materials,2523807,1
2133-CR-203|01-03-01,Materials,3039525,1
2133-CR-203|01-03-01,Materials,3039526,1
2133-CR-203|02-01-03,Materials,2523810,1
2133-CR-203|02-04-03,Materials,3039544,1
2133-CR-203|02-02-01,Materials,3039657,1
2133-CR-203|02-06-01,Materials,2523804,1
2133-CR-203|06-01-03,Materials,3039517,1
2133-CR-203|06-01-03,Materials,3039518,1
2133-CR-203|06-01-03,Materials,3039519,1
2133-CR-203|06-01-03,Materials,3039523,1
2133-CR-203|06-01-03,Materials,3039655,2
2133-CR-203|06-01-03,Materials,3039663,1
4131-PU-401|01-01-08,Materials,2530835,0.026
4131-PU-407|01-01-08,Materials,2530835,0.026
4131-PU-410|01-01-08,Materials,2530835,0.042
4131-PU-434A|01-01-08,Materials,2530835,0.054
3323-PU-339|02-05-04,Materials,2518155,0.04
3323-PU-339|02-05-05,Materials,2518155,0.21
3323-PU-339|02-06-01,Materials,3040311,1
3323-PU-339|01-01-10,Materials,2518155,0.033
3323-PU-339|02-02-01,Materials,3040324,1
3323-PU-339|02-06-02,Materials,3040355,1
3323-PU-339|02-07-02,Materials,3040312,1
3323-PU-339|02-02-01,Materials,3040311,1
3334-PU-353|02-01-02,Materials,3040283,1
3334-PU-353|02-02-06,Materials,2518155,0.05
3334-PU-353|02-03-02,Materials,3040287,1
3334-PU-353|02-02-08,Materials,3040341,1
3334-PU-353|02-02-04,Materials,3040284,1
3334-PU-353|02-02-04,Materials,3040324,1
3334-PU-353|02-02-04,Materials,3040285,1
3334-PU-353|02-02-04,Materials,3040278,3
3334-PU-353|02-02-04,Materials,3040345,1
3334-PU-353|02-02-04,Materials,3040346,1
3334-PU-353|02-02-04,Materials,3040347,1
3334-PU-353|02-02-04,Materials,3040348,2
3335-PU-356|02-01-07,Materials,2530847,1
3331-FL-301|01-01-06,Materials,2524070,1
3331-FL-301|01-01-06,Materials,2524071,1
3331-FL-301|01-01-06,Materials,2524072,1
2111-CR-201|03-02-03,Materials,2523811,2
2111-CR-201|03-03-03,Materials,2523812,2
2111-CR-201|02-03-02,Materials,3039595,1
2111-CR-201|05-03-04,Materials,2518029,13.21
2111-CR-201|03-01-03,Materials,2523813,2
2111-CR-201|03-01-03,Materials,2523814,2
2111-CR-201|01-01-09,Materials,2530835,0.105
2111-CR-201|01-06-02,Materials,3039568,1
2111-CR-201|04-03-02,Materials,3039597,1
2111-CR-201|03-04-03,Materials,3039567,1
2111-CR-201|01-08-02,Materials,2523767,16
4131-CP-404|02-02-01,Materials,2525297,0.26
2323-BL-201|02-01-03,Materials,2517940,3.82
2323-BL-201|02-02-03,Materials,3040961,1
2323-BL-201|02-02-03,Materials,3040981,1
2323-BL-201|02-01-02,Materials,3040950,2
2323-BL-201|02-01-02,Materials,3040951,2
2323-BL-201|02-01-02,Materials,3040952,2
2323-BL-201|02-01-02,Materials,3040953,2
2323-BL-201|02-01-02,Materials,3040954,2
2323-BL-201|02-01-02,Materials,3040955,2
2323-BL-201|02-01-02,Materials,3040956,2
2323-BL-201|02-01-02,Materials,3040957,2
2323-BL-201|02-01-02,Materials,3040958,2
2323-BL-201|02-01-02,Materials,3040959,2
2323-BL-201|02-01-02,Materials,3040960,4
2323-BL-201|02-01-02,Materials,3040962,1
2323-BL-201|02-01-02,Materials,3040963,1
2323-BL-201|02-01-02,Materials,3040964,1
2323-BL-202|02-01-01,Materials,3040950,2
2323-BL-202|02-01-01,Materials,3040951,2
2323-BL-202|02-01-01,Materials,3040952,2
2323-BL-202|02-01-01,Materials,3040953,2
2323-BL-202|02-01-01,Materials,3040954,2
2323-BL-202|02-01-01,Materials,3040955,2
2323-BL-202|02-01-01,Materials,3040956,2
2323-BL-202|02-01-01,Materials,3040957,2
2323-BL-202|02-01-01,Materials,3040958,2
2323-BL-202|02-01-01,Materials,3040959,2
3114-CP-303|02-02-03,Materials,3041153,1
3114-CP-303|02-01-03,Materials,3041154,1
3114-CP-303|03-01-03,Materials,3041155,2
3114-CP-303|02-02-04,Materials,3041156,1
3114-CP-303|02-01-05,Materials,3041158,1
3114-CP-303|02-01-05,Materials,3041157,1
3114-CP-303|02-01-05,Materials,3041159,1
3351-PU-370|01-01-09,Materials,2518155,0.01
3351-PU-370|02-01-03,Materials,3040263,1
3351-PU-370|02-02-04,Materials,3040296,1
3351-PU-370|02-02-04,Materials,3040297,1
3351-PU-370|02-02-04,Materials,3040278,2
3351-PU-370|02-02-04,Materials,3040299,1
3351-PU-370|02-02-04,Materials,3040300,1
3351-PU-370|02-02-04,Materials,3040363,1
3351-PU-370|02-02-04,Materials,3040301,2
3351-PU-370|02-01-01,Materials,2518155,0.015
3351-PU-370|02-03-02,Materials,3040264,1
3351-PU-370|02-04-01,Materials,3040294,1
3351-PU-372|01-01-09,Materials,2530835,0.02
3351-PU-372|02-01-03,Materials,3040267,1
3351-PU-372|02-02-04,Materials,3040268,1
3351-PU-372|02-02-04,Materials,3040269,1
3351-PU-372|02-02-04,Materials,3040361,3
3351-PU-372|02-02-04,Materials,3040270,1
