Asset tag,key_system,System
3111-FE-301,3111-FE-301|03,
3111-FE-301,3111-FE-301|04,
3112-CH-304,3112-CH-304|01,
3112-CH-304,3112-CH-304|02,
3112-CH-305,3112-CH-305|01,
3112-CH-305,3112-CH-305|02,
3112-CH-306,3112-CH-306|01,
3112-CH-306,3112-CH-306|02,
3112-CH-307,3112-CH-307|01,
3112-CH-307,3112-CH-307|02,
3112-CV-301,3112-CV-301|01,
3112-CV-301,3112-CV-301|02,
3112-CV-301,3112-CV-301|03,
3112-CV-301,3112-CV-301|04,
3112-CV-301,3112-CV-301|05,
3112-CV-302,3112-CV-302|01,
3112-CV-302,3112-CV-302|02,
3112-CV-302,3112-CV-302|03,
3112-CV-302,3112-CV-302|04,
3112-CV-302,3112-CV-302|05,
3112-CV-303,3112-CV-303|01,
3112-CV-303,3112-CV-303|02,
3112-CV-303,3112-CV-303|03,
3112-CV-303,3112-CV-303|04,
3112-CV-303,3112-CV-303|05,
3112-MA-301,3112-MA-301|01,
3112-MA-301,3112-MA-301|02,
3112-MA-301,3112-MA-301|03,
3114-CP-303,3114-CP-303|01,
3114-CP-303,3114-CP-303|02,
3114-CP-303,3114-CP-303|03,
3114-CP-303,3114-CP-303|04,
3121-FA-301,3121-FA-301|01,
3121-FA-301,3121-FA-301|02,
3121-FA-301,3121-FA-301|03,
3122-CH-308,3122-CH-308|01,
3122-CH-308,3122-CH-308|02,
3122-CH-309,3122-CH-309|01,
3122-CH-309,3122-CH-309|02,
3122-CH-310,3122-CH-310|01,
3122-CH-310,3122-CH-310|02,
3122-CH-345,3122-CH-345|01,
3122-CH-345,3122-CH-345|02,
3122-CH-346,3122-CH-346|01,
3122-CH-346,3122-CH-346|02,
3122-CH-347,3122-CH-347|01,
3122-CH-347,3122-CH-347|02,
3122-CH-348,3122-CH-348|01,
3122-CH-348,3122-CH-348|02,
3122-CH-350,3122-CH-350|01,
3122-CH-350,3122-CH-350|02,
3122-CV-319,3122-CV-319|01,
3122-CV-319,3122-CV-319|02,
3122-CV-319,3122-CV-319|03,
3122-CV-319,3122-CV-319|04,
3122-CV-319,3122-CV-319|05,
3122-FE-302,3122-FE-302|01,
3122-FE-302,3122-FE-302|02,
3122-FE-302,3122-FE-302|03,
3122-FE-302,3122-FE-302|04,
3122-MA-302,3122-MA-302|01,
3122-MA-302,3122-MA-302|02,
3122-MA-302,3122-MA-302|03,
3131-BN-303,3131-BN-303|01,
3131-BN-303,3131-BN-303|02,
3131-CH-311,3131-CH-311|01,
3131-CH-311,3131-CH-311|02,
3131-CH-312,3131-CH-312|01,
3131-CH-312,3131-CH-312|02,
3131-CH-313,3131-CH-313|01,
3131-CH-313,3131-CH-313|02,
3131-CH-314,3131-CH-314|01,
3131-CH-314,3131-CH-314|02,
3131-CH-315,3131-CH-315|01,
3131-CH-315,3131-CH-315|02,
3131-CH-316,3131-CH-316|01,
3131-CH-316,3131-CH-316|02,
3131-CH-317,3131-CH-317|01,
3131-CH-317,3131-CH-317|02,
3131-CV-306,3131-CV-306|01,
3131-CV-306,3131-CV-306|02,
3131-CV-306,3131-CV-306|03,
3131-CV-306,3131-CV-306|04,
3131-CV-306,3131-CV-306|05,
3131-CV-307,3131-CV-307|01,
3131-CV-307,3131-CV-307|02,
3131-CV-307,3131-CV-307|03,
3131-CV-307,3131-CV-307|04,
3131-CV-307,3131-CV-307|05,
3131-SC-301,3131-SC-301|01,
3131-SC-301,3131-SC-301|02,
